"","P1","P2","P3","P4","P5","P6","P7","P8"
"1","Coffee Eclair","Blackberry Tart","Bottled Water","Single Espresso",NA,NA,NA,NA
"2","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"3","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"4","Opera Cake","Strawberry Cake","Blackberry Tart","Cherry Tart","Apricot Danish","Bottled Water",NA,NA
"5","Casino Cake","Strawberry Cake","Coffee Eclair","Napoleon Cake","Raspberry Cookie",NA,NA,NA
"6","Berry Tart","Ganache Cookie","Bottled Water",NA,NA,NA,NA,NA
"7","Strawberry Cake","Apple Tart","Apple Croissant","Apple Danish","Bottled Water","Cherry Soda",NA,NA
"8","Blackberry Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"9","Casino Cake","Tuile Cookie",NA,NA,NA,NA,NA,NA
"10","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"12","Pecan Tart","Green Tea","Cherry Soda",NA,NA,NA,NA,NA
"13","Single Espresso",NA,NA,NA,NA,NA,NA,NA
"14","Lemon Cake","Lemon Tart","Vanilla Meringue",NA,NA,NA,NA,NA
"15","Truffle Cake","Gongolais Cookie","Blueberry Danish",NA,NA,NA,NA,NA
"16","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"17","Strawberry Cake","Chocolate Eclair","Napoleon Cake","Almond Tart","Blueberry Tart","Gongolais Cookie",NA,NA
"18","Lemon Cake","Lemon Tart","Raspberry Cookie",NA,NA,NA,NA,NA
"19","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"20","Opera Cake","Cherry Tart","Apricot Croissant","Apricot Danish",NA,NA,NA,NA
"21","Lemon Cake","Vanilla Eclair","Lemon Tart","Vanilla Frappuccino",NA,NA,NA,NA
"22","Chocolate Croissant","Blueberry Danish","Bottled Water",NA,NA,NA,NA,NA
"23","Apricot Tart","Lemon Tart",NA,NA,NA,NA,NA,NA
"24","Strawberry Cake","Napoleon Cake","Almond Bear Claw",NA,NA,NA,NA,NA
"25","Coffee Eclair","Gongolais Cookie","Cherry Soda",NA,NA,NA,NA,NA
"26","Coffee Eclair","Apple Pie","Berry Tart",NA,NA,NA,NA,NA
"27","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"28","Napoleon Cake","Berry Tart",NA,NA,NA,NA,NA,NA
"29","Chocolate Cake","Casino Cake","Orange Juice",NA,NA,NA,NA,NA
"30","Apricot Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"31","Raspberry Cookie",NA,NA,NA,NA,NA,NA,NA
"32","Vanilla Eclair","Ganache Cookie","Chocolate Meringue","Almond Bear Claw",NA,NA,NA,NA
"33","Strawberry Cake","Chocolate Coffee",NA,NA,NA,NA,NA,NA
"34","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"35","Strawberry Cake","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"36","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"37","Berry Tart","Gongolais Cookie","Vanilla Meringue","Almond Twist","Bottled Water",NA,NA,NA
"38","Chocolate Cake","Blueberry Tart","Almond Croissant","Apricot Croissant","Hot Coffee","Vanilla Frappuccino",NA,NA
"39","Lemon Cake","Apple Pie","Lemon Tart","Chocolate Meringue","Marzipan Cookie","Walnut Cookie","Chocolate Coffee",NA
"40","Blackberry Tart","Blueberry Tart","Cherry Tart","Ganache Cookie","Vanilla Meringue",NA,NA,NA
"41","Strawberry Cake","Almond Tart","Berry Tart",NA,NA,NA,NA,NA
"42","Opera Cake","Apple Danish",NA,NA,NA,NA,NA,NA
"43","Raspberry Cookie","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"44","Blackberry Tart","Ganache Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"45","Almond Tart","Lemon Tart","Chocolate Meringue","Apricot Croissant",NA,NA,NA,NA
"46","Apple Pie","Gongolais Cookie","Bottled Water",NA,NA,NA,NA,NA
"47","Vanilla Eclair",NA,NA,NA,NA,NA,NA,NA
"48","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"49","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"50","Tuile Cookie","Blueberry Danish",NA,NA,NA,NA,NA,NA
"51","Coffee Eclair","Chocolate Tart","Tuile Cookie",NA,NA,NA,NA,NA
"52","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"53","Apricot Croissant","Chocolate Croissant",NA,NA,NA,NA,NA,NA
"54","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"55","Blackberry Tart","Almond Croissant","Hot Coffee",NA,NA,NA,NA,NA
"56","Blueberry Danish","Single Espresso",NA,NA,NA,NA,NA,NA
"57","Chocolate Coffee",NA,NA,NA,NA,NA,NA,NA
"58","Strawberry Cake","Napoleon Cake","Lemon Tart",NA,NA,NA,NA,NA
"59","Chocolate Cake","Casino Cake","Blueberry Tart","Lemon Tart","Chocolate Coffee",NA,NA,NA
"60","Chocolate Tart","Ganache Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"61","Casino Cake","Strawberry Cake","Chocolate Eclair","Napoleon Cake","Blueberry Danish",NA,NA,NA
"62","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"63","Apricot Tart","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"64","Lemon Lemonade",NA,NA,NA,NA,NA,NA,NA
"65","Apple Tart","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"66","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"67","Lemon Cake","Apple Danish",NA,NA,NA,NA,NA,NA
"68","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"69","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"70","Truffle Cake","Apple Tart","Blueberry Tart",NA,NA,NA,NA,NA
"71","Almond Croissant","Single Espresso",NA,NA,NA,NA,NA,NA
"72","Coffee Eclair","Walnut Cookie","Almond Croissant",NA,NA,NA,NA,NA
"73","Chocolate Tart","Lemon Tart","Almond Croissant",NA,NA,NA,NA,NA
"74","Lemon Cake","Apricot Tart","Apple Danish",NA,NA,NA,NA,NA
"75","Lemon Tart","Cheese Croissant","Single Espresso",NA,NA,NA,NA,NA
"76","Lemon Cake","Truffle Cake","Berry Tart","Almond Bear Claw",NA,NA,NA,NA
"77","Apple Croissant",NA,NA,NA,NA,NA,NA,NA
"78","Lemon Cake","Truffle Cake","Vanilla Eclair","Berry Tart","Gongolais Cookie","Vanilla Meringue",NA,NA
"79","Coffee Eclair","Marzipan Cookie","Almond Croissant","Apple Danish","Almond Twist","Green Tea",NA,NA
"80","Apricot Tart","Apricot Danish","Orange Juice",NA,NA,NA,NA,NA
