"","P1","P2","P3","P4","P5","P6","P7","P8"
"1","Strawberry Cake","Truffle Cake","Chocolate Eclair","Almond Tart",NA,NA,NA,NA
"2","Lemon Cake","Apple Tart","Lemon Tart","Chocolate Coffee","Vanilla Frappuccino",NA,NA,NA
"3","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA,NA
"4","Cherry Tart","Lemon Cookie","Apricot Danish",NA,NA,NA,NA,NA
"5","Apple Tart","Gongolais Cookie","Marzipan Cookie","Almond Croissant",NA,NA,NA,NA
"6","Cherry Tart","Walnut Cookie",NA,NA,NA,NA,NA,NA
"7","Chocolate Cake","Casino Cake","Vanilla Eclair",NA,NA,NA,NA,NA
"8","Berry Tart","Lemon Lemonade","Bottled Water",NA,NA,NA,NA,NA
"9","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"10","Apple Tart","Tuile Cookie","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA
"11","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"12","Chocolate Eclair","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA
"13","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"14","Strawberry Cake","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA
"15","Chocolate Cake","Casino Cake","Strawberry Cake","Coffee Eclair","Apple Pie","Almond Twist","Orange Juice",NA
"16","Apricot Tart","Lemon Lemonade",NA,NA,NA,NA,NA,NA
"17","Berry Tart",NA,NA,NA,NA,NA,NA,NA
"18","Apricot Tart","Pecan Tart","Apricot Croissant",NA,NA,NA,NA,NA
"19","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"20","Chocolate Eclair","Orange Juice",NA,NA,NA,NA,NA,NA
"21","Cherry Tart","Pecan Tart","Gongolais Cookie","Lemon Cookie",NA,NA,NA,NA
"22","Gongolais Cookie","Raspberry Lemonade","Vanilla Frappuccino",NA,NA,NA,NA,NA
"23","Lemon Cookie","Tuile Cookie","Apricot Danish","Orange Juice",NA,NA,NA,NA
"24","Truffle Cake","Lemon Tart","Gongolais Cookie","Chocolate Meringue",NA,NA,NA,NA
"25","Napoleon Cake","Ganache Cookie","Walnut Cookie","Almond Croissant","Orange Juice","Hot Coffee",NA,NA
"26","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"27","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"28","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"29","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"30","Chocolate Eclair","Berry Tart","Gongolais Cookie","Almond Croissant","Almond Bear Claw","Lemon Lemonade","Chocolate Coffee",NA
"31","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"32","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"33","Truffle Cake","Gongolais Cookie","Almond Twist",NA,NA,NA,NA,NA
"34","Chocolate Cake","Casino Cake","Truffle Cake","Chocolate Coffee",NA,NA,NA,NA
"35","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"36","Marzipan Cookie","Tuile Cookie","Cheese Croissant",NA,NA,NA,NA,NA
"37","Truffle Cake","Pecan Tart","Gongolais Cookie","Raspberry Lemonade","Bottled Water",NA,NA,NA
"38","Berry Tart","Chocolate Croissant","Blueberry Danish","Bottled Water",NA,NA,NA,NA
"39","Lemon Cake","Apple Tart","Blueberry Tart","Gongolais Cookie","Blueberry Danish",NA,NA,NA
"40","Casino Cake","Napoleon Cake","Blueberry Tart","Chocolate Tart","Apricot Danish","Hot Coffee",NA,NA
"41","Lemon Cookie","Almond Croissant","Cherry Soda",NA,NA,NA,NA,NA
"42","Strawberry Cake","Napoleon Cake","Apple Pie",NA,NA,NA,NA,NA
"43","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"44","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"45","Marzipan Cookie","Bottled Water",NA,NA,NA,NA,NA,NA
"46","Pecan Tart","Ganache Cookie","Hot Coffee",NA,NA,NA,NA,NA
"47","Berry Tart","Lemon Tart","Lemon Cookie","Walnut Cookie","Cheese Croissant","Chocolate Croissant","Apple Danish","Almond Bear Claw"
"48","Lemon Cake","Lemon Tart","Apple Danish","Raspberry Lemonade","Orange Juice",NA,NA,NA
"49","Blueberry Tart","Gongolais Cookie","Apricot Danish",NA,NA,NA,NA,NA
"50","Chocolate Eclair","Apple Tart","Ganache Cookie","Almond Croissant","Lemon Lemonade","Bottled Water",NA,NA
"51","Lemon Cake","Opera Cake","Strawberry Cake","Napoleon Cake","Lemon Cookie","Apple Danish","Green Tea","Bottled Water"
"52","Strawberry Cake","Napoleon Cake","Orange Juice","Vanilla Frappuccino",NA,NA,NA,NA
"53","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"54","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"55","Coffee Eclair","Almond Tart","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA
"56","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"57","Cherry Tart","Pecan Tart","Hot Coffee",NA,NA,NA,NA,NA
"58","Cherry Tart","Apricot Danish","Bottled Water",NA,NA,NA,NA,NA
"59","Hot Coffee","Vanilla Frappuccino",NA,NA,NA,NA,NA,NA
"60","Tuile Cookie",NA,NA,NA,NA,NA,NA,NA
"61","Chocolate Tart","Walnut Cookie","Hot Coffee","Vanilla Frappuccino",NA,NA,NA,NA
"62","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"63","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"64","Apple Tart","Almond Croissant","Apricot Danish",NA,NA,NA,NA,NA
"65","Apple Tart","Berry Tart","Lemon Tart","Raspberry Cookie","Bottled Water",NA,NA,NA
"66","Lemon Cake",NA,NA,NA,NA,NA,NA,NA
"67","Cherry Tart","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"68","Cheese Croissant","Blueberry Danish","Orange Juice",NA,NA,NA,NA,NA
"69","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"70","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"71","Chocolate Cake","Coffee Eclair","Marzipan Cookie",NA,NA,NA,NA,NA
"72","Blackberry Tart","Marzipan Cookie",NA,NA,NA,NA,NA,NA
"73","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"74","Chocolate Cake","Casino Cake","Chocolate Meringue","Chocolate Coffee",NA,NA,NA,NA
"75","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"76","Chocolate Eclair","Apple Tart","Pecan Tart","Apple Croissant","Apple Danish",NA,NA,NA
"77","Opera Cake","Strawberry Cake","Blueberry Tart","Lemon Tart","Apricot Croissant","Chocolate Croissant",NA,NA
"78","Gongolais Cookie","Vanilla Meringue",NA,NA,NA,NA,NA,NA
"79","Casino Cake","Strawberry Cake","Chocolate Tart","Chocolate Croissant",NA,NA,NA,NA
"80","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"81","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"82","Napoleon Cake","Apple Tart","Vanilla Meringue","Apricot Croissant",NA,NA,NA,NA
"83","Walnut Cookie","Chocolate Croissant","Almond Bear Claw",NA,NA,NA,NA,NA
"84","Lemon Cake","Cherry Tart",NA,NA,NA,NA,NA,NA
"85","Apple Tart","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA
"86","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"87","Lemon Cake","Chocolate Tart","Lemon Tart","Vanilla Meringue","Cherry Soda",NA,NA,NA
"88","Strawberry Cake","Napoleon Cake","Berry Tart",NA,NA,NA,NA,NA
"89","Lemon Cake","Lemon Tart","Pecan Tart","Marzipan Cookie",NA,NA,NA,NA
"90","Blackberry Tart","Gongolais Cookie","Chocolate Meringue","Almond Bear Claw","Single Espresso",NA,NA,NA
"91","Berry Tart","Blueberry Tart","Apricot Croissant",NA,NA,NA,NA,NA
"92","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"93","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"94","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"95","Blueberry Tart","Apricot Croissant","Hot Coffee","Single Espresso",NA,NA,NA,NA
"96","Chocolate Eclair",NA,NA,NA,NA,NA,NA,NA
"97","Chocolate Cake","Casino Cake","Hot Coffee","Chocolate Coffee",NA,NA,NA,NA
"98","Apricot Tart","Vanilla Meringue","Cherry Soda",NA,NA,NA,NA,NA
"99","Lemon Cake","Lemon Tart","Cheese Croissant",NA,NA,NA,NA,NA
"100","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"101","Chocolate Cake","Strawberry Cake","Berry Tart","Cheese Croissant","Orange Juice","Hot Coffee","Vanilla Frappuccino",NA
"102","Casino Cake","Apricot Tart","Raspberry Cookie",NA,NA,NA,NA,NA
"103","Coffee Eclair","Vanilla Eclair","Almond Tart","Pecan Tart","Gongolais Cookie","Vanilla Meringue",NA,NA
"104","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"105","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"106","Vanilla Eclair","Blueberry Tart","Vanilla Meringue","Walnut Cookie","Apricot Croissant","Hot Coffee",NA,NA
"107","Lemon Cake","Chocolate Eclair","Ganache Cookie",NA,NA,NA,NA,NA
"108","Hot Coffee",NA,NA,NA,NA,NA,NA,NA
"109","Raspberry Cookie","Green Tea","Vanilla Frappuccino",NA,NA,NA,NA,NA
"110","Chocolate Eclair","Apple Pie","Blackberry Tart","Cherry Tart",NA,NA,NA,NA
"111","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"112","Cheese Croissant","Orange Juice","Vanilla Frappuccino",NA,NA,NA,NA,NA
"113","Almond Croissant","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"114","Vanilla Meringue","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"115","Vanilla Eclair","Berry Tart","Almond Croissant",NA,NA,NA,NA,NA
"116","Pecan Tart","Vanilla Meringue","Hot Coffee",NA,NA,NA,NA,NA
"117","Lemon Tart","Marzipan Cookie","Tuile Cookie","Almond Bear Claw",NA,NA,NA,NA
"118","Blackberry Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"119","Blueberry Tart","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"120","Apple Pie","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"121","Coffee Eclair","Apple Pie","Chocolate Tart","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea"
"122","Opera Cake","Strawberry Cake","Apricot Tart","Lemon Lemonade",NA,NA,NA,NA
"123","Apricot Tart","Gongolais Cookie","Lemon Cookie","Walnut Cookie",NA,NA,NA,NA
"124","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"125","Lemon Cake","Almond Tart","Bottled Water",NA,NA,NA,NA,NA
"126","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"127","Opera Cake","Strawberry Cake","Blueberry Tart","Cherry Tart","Apricot Danish","Apple Danish","Blueberry Danish",NA
"128","Opera Cake","Chocolate Meringue",NA,NA,NA,NA,NA,NA
"129","Cherry Tart","Marzipan Cookie","Almond Twist",NA,NA,NA,NA,NA
"130","Apple Tart","Berry Tart","Almond Twist","Bottled Water",NA,NA,NA,NA
"131","Chocolate Cake","Chocolate Croissant","Chocolate Coffee",NA,NA,NA,NA,NA
"132","Almond Bear Claw",NA,NA,NA,NA,NA,NA,NA
"133","Pecan Tart","Gongolais Cookie","Walnut Cookie","Raspberry Lemonade",NA,NA,NA,NA
"134","Vanilla Eclair","Gongolais Cookie","Green Tea",NA,NA,NA,NA,NA
"135","Apple Pie","Marzipan Cookie",NA,NA,NA,NA,NA,NA
"136","Lemon Cake","Lemon Cookie","Chocolate Meringue","Marzipan Cookie","Tuile Cookie",NA,NA,NA
"137","Opera Cake","Truffle Cake","Coffee Eclair","Berry Tart",NA,NA,NA,NA
"138","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"139","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"140","Apple Tart","Apple Croissant","Chocolate Croissant","Apple Danish","Cherry Soda",NA,NA,NA
"141","Casino Cake","Truffle Cake","Ganache Cookie",NA,NA,NA,NA,NA
"142","Opera Cake","Strawberry Cake","Blackberry Tart",NA,NA,NA,NA,NA
"143","Casino Cake","Apple Pie","Chocolate Meringue","Walnut Cookie",NA,NA,NA,NA
"144","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"145","Vanilla Eclair","Raspberry Cookie","Apple Croissant","Single Espresso",NA,NA,NA,NA
"146","Casino Cake","Napoleon Cake","Blueberry Tart","Vanilla Meringue",NA,NA,NA,NA
"147","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"148","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"149","Chocolate Cake","Casino Cake","Vanilla Eclair","Gongolais Cookie","Almond Bear Claw","Chocolate Coffee",NA,NA
"150","Apricot Tart","Single Espresso",NA,NA,NA,NA,NA,NA
"151","Apple Pie","Apple Danish",NA,NA,NA,NA,NA,NA
"152","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
